Product URL,Product Name,Price,Rating,Reviews
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-14,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9,"15,267"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-15,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",689,3.9,"3,131"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-16,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3,"12,352"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-17,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"8,168"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-18,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4,"5,460"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-19,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,3.9,720
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679486444&sprefix=ba%2Caps%2C358&sr=8-20,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,4.0,32
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTA3NDU0MDkyMDI5Njc2OjE2Nzk0ODY0NDQ6c3BfYnRmOjIwMDkxMDg5MjQ2Nzk4OjowOjo&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486444%26sprefix%3Dba%252Caps%252C358%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"2,344"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTA3NDU0MDkyMDI5Njc2OjE2Nzk0ODY0NDQ6c3BfYnRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486444%26sprefix%3Dba%252Caps%252C358%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.9,17
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTUzNTQ1NjExODU4NDg5OjE2Nzk0ODY0NDY6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486446%26sprefix%3Dba%252Caps%252C358%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack,529,5.0,2
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTUzNTQ1NjExODU4NDg5OjE2Nzk0ODY0NDY6c3BfYXRmX25leHQ6MjAwOTEwODkyNDY3OTg6OjA6Og&url=%2FHalf-Moon-Backpack-Luggage-Compartment%2Fdp%2FB09VCLZ3K4%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679486446%26sprefix%3Dba%252Caps%252C358%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"2,344"
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-19,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,"5,654"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-20,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1,8
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-21,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"2,344"
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1679486446&sprefix=ba%2Caps%2C358&sr=8-22,ADISA Laptop Backpack 31 Ltrs,499,4.0,"9,087"
